 Laboratório de Biologia Molecular, Departamento de Biologia Celular, Universidade de Brasília|Universidade de Brasília|Brazil
 Laboratorio de Citogenética y Evolución, Departamento de Ecología, Genética y Evolución, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires|Universidad de Buenos Aires|Argentina
 Laboratório de Ecotoxicologia Marinha, Instituto Oceanográfico, Universidade de São Paulo|Universidade de São Paulo|Brazil
 Laboratório de Ecotoxicologia, Universidade Santa Cecília|Universidade Santa Cecília|Brazil
 Laboratório de Genética de Peixes, Coordenação de Pesquisas em Biologia Aquática, Instituto Nacional de Pesquisas da Amazônia|Instituto Nacional de Pesquisas da Amazônia|Brazil
 Laboratório de Genética e Biodiversidade e Núcleo de Pesquisas Replicon, Universidade Católica de Goiás|Pontifícia Universidade Católica de Goiás|Brazil
 Laboratório de Genética e Biologia Molecular, Instituto de Estudos Costeiros, Universidade Federal do Pará|Universidade Federal do Pará|Brazil
 Laboratório de Mutagênese, Instituto de Genética e Bioquímica, Universidade Federal de Uberlândia|Universidade Federal de Uberlândia|Brazil
 Laboratório de Pesquisas Biológicas, Universidade Santa Cecília|Universidade Santa Cecília|Brazil
 MQA-IPEN-CNEN|Instituto de Pesquisas Energéticas e Nucleares|Brazil
 Neuroscience Genome Research Center, The Catholic University of Korea|The Catholic University of Korea|South Korea
 Núcleo de Estudos em Poluição e Ecotoxicologia Aquática, Universidade Estadual Paulista|Universidade Estadual Paulista|Brazil
 Programa de Doutorado em Ciências Ambientais, Universidade Federal de Goiás|Universidade Federal de Goiás|Brazil
 United States Department of Agriculture, Agricultural Research Service, Crop Production and Pest Control Research Unit, Purdue University, West Lafayette|Purdue University|USA
"&#304;nönü University"|Inönü Üniversitesi|Turkey
"&#34;Dr. Luis Antonio&#34; Cancer Hospital"|Liga Contra o Câncer|Brazil
(Annamalai University|Annamalai University|India
(CCT La Plata - CONICET -UNLP)|Universidad Nacional de La Plata|Argentina
(CENACE), Guadalajara, México.|Comisión Federal de Electricidad|Mexico
(CEPLAC-CEPEC)|Ministério da Agricultura, Pecuária e Abastecimento|Brazil
(CIDEM).|Centro de Investigación y Desarrollo de Medicamentos|Cuba
(CIMEQ)|Centro de Investigaciones Médico Quirúrgicas|Cuba
(CIPEL), CUJAE, la Habana, Cuba.|Instituto Superior Politécnico José Antonio Echeverría|Cuba
(CNPq)|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Brazil
(CONICET)|Consejo Nacional de Investigaciones Científicas y Técnicas|Argentina
(CONICET-UNLP)|Universidad Nacional de La Plata|Argentina
Centro Municipal de la Mujer|Consejo Municipal de la Mujer|
Consejo Municipal de la Mujer|Consejo Municipal de la Mujer|
(DSER/ CCA/ UFPB)|Universidade Federal da Paraíba|Brazil
(EMBRAPA/CNPMS)|Embrapa Milho e Sorgo|Brazil
(EPAGRI)|Secretaria de Estado da Agricultura e da Pesca|Brazil
(EPAMIG)|Secretaria de Estado de Agricultura, Pecuária e Abastecimento de Minas Gerais|Brazil
(Faculdades Integradas de Itapetininga|Fundação Karning Bazarian|Brazil
(FADU-UBA)|Universidad de Buenos Aires|Argentina
(FAMERP)|Faculdade de Medicina de São José do Rio Preto|Brazil
(FUNFARME)|Fundação Faculdade Regional Medicina S José Rio Preto|Brazil
(GEPCOL/UFPE)|Universidade Federal de Pernambuco|Brazil
(HAMP-UCLA)|Universidad Centroccidental Lisandro Alvarado|Venezuela
(HCC)|Hospital de Clínicas Caracas|Venezuela
(Hospital Albert Einstein)|Hospital Israelita Albert Einstein|Brazil
(HRAC/USP|Universidade de São Paulo|Brazil
(HUPAZ)|"Hospital Universitario de Pediatría ""Dr. Agustín Zubillaga"""|Venezuela
(IMBICE)|Instituto Multidisciplinario de Biología Celular|Argentina
(INIA). CIAE-Lara|Instituto Nacional de Investigaciones Agrícolas|Venezuela
(INPA)|Instituto Nacional de Pesquisas da Amazônia|Brazil
(Institut Català de la Salut|Institut Català de la Salut|Spain
Faculdade Latino-Americana de Ciências Sociais|Faculdade Latino-Americana de Ciências Sociais|Brazil
(PIBIC/CNPq/UFRGS)|Universidade Federal do Rio Grande do Sul|Brazil
(Pontificia Universidad Javeriana|Pontificia Universidad Javeriana|Colombia
(PPGA/CCA/UFPB)|Universidade Federal da Paraíba|Brazil
(PUCRS)|Pontifícia Universidade Católica do Rio Grande do Sul|Brazil
